feedback_id,customer_id,store_id,product_id,rating,comments,feedback_date
1,825,14,325,4,Too expensive,2021-07-26
2,539,2,495,4,Great!,2021-08-09
3,536,16,77,5,Poor quality,2023-02-11
4,624,4,49,1,Too expensive,2098-03-14
5,489,17,70,5,Great!,2023-04-18
6,535,11,408,4,Will buy again,2021-07-10
7,140,5,296,1,Great!,2021-07-19
8,743,15,493,bad,Great!,2023-11-11
9,612,5,165,5,Poor quality,2023-10-11
10,896,15,421,3,Too expensive,2020-06-11
11,335,17,256,1,Poor quality,2022-11-24
12,442,19,260,1,Great!,2020-01-24
13,928,15,353,2,Great!,2021-02-23
14,982,14,244,3,Will buy again,2022-09-09
15,69,17,234,3,Will buy again,2021-10-13
16,57,19,110,1,Too expensive,2020-11-20
17,499,13,139,2,Poor quality,2074-02-17
18,660,2,376,2,Too expensive,2022-05-21
19,995,10,434,4,Too expensive,2023-06-05
20,88,18,72,2,Will buy again,2023-06-25
21,316,12,278,bad,Too expensive,2020-09-29
22,180,6,15,bad,Will buy again,2022-02-27
23,123,7,469,4,Great!,2023-05-31
24,77,5,305,3,Too expensive,2061-02-23
25,188,5,498,1,Great!,2061-07-06
26,873,1,343,4,Will buy again,2021-02-21
27,983,11,138,5,Great!,2020-05-08
28,191,15,394,5,Too expensive,2021-06-20
29,646,7,7,bad,Too expensive,2020-11-06
30,299,13,410,3,Too expensive,2022-07-16
31,371,18,278,3,Will buy again,2092-06-23
32,44,19,37,5,Too expensive,2023-10-13
33,570,6,422,1,Poor quality,2022-11-30
34,317,6,166,1,Poor quality,2020-04-19
35,477,20,50,1,Great!,2022-09-12
36,26,11,413,4,Will buy again,2020-07-31
37,145,18,66,5,Poor quality,2023-01-16
38,732,16,44,2,Poor quality,2023-09-22
39,913,11,4,2,Poor quality,2023-10-24
40,334,3,198,1,Will buy again,2021-12-07
41,571,18,100,2,Poor quality,2023-07-26
42,954,6,412,4,Great!,2023-05-11
43,235,17,290,2,Great!,2023-04-08
44,764,10,117,2,Great!,2020-03-02
45,513,2,210,5,Will buy again,2022-03-24
46,770,5,496,4,Will buy again,2023-08-27
47,822,7,162,1,Too expensive,2023-07-12
48,623,1,335,4,Poor quality,2022-01-24
49,370,7,152,2,Poor quality,2023-08-20
50,216,4,30,1,Too expensive,2020-01-17
51,924,13,263,bad,Will buy again,2023-02-13
52,120,10,288,5,Too expensive,2021-02-19
53,662,4,338,3,Great!,2020-05-25
54,173,1,477,3,Great!,2098-04-07
55,13,1,374,2,Will buy again,2022-12-02
56,675,17,68,4,Too expensive,2021-04-08
57,772,20,50,bad,Poor quality,2020-02-06
58,947,11,284,2,Will buy again,2022-12-24
59,804,3,129,bad,Poor quality,2021-09-28
60,565,19,263,4,Too expensive,2021-02-19
61,899,7,226,1,Great!,2023-04-19
62,155,16,437,3,Too expensive,2023-07-16
63,70,5,336,bad,Great!,2021-10-31
64,769,11,36,4,Will buy again,2023-03-29
65,730,6,471,5,Will buy again,2021-11-06
66,562,14,462,1,Too expensive,2069-05-01
67,762,3,326,1,Poor quality,2020-11-10
68,838,10,401,3,Poor quality,2022-07-13
69,664,11,168,2,Poor quality,2021-03-12
70,816,15,177,4,Will buy again,2023-04-07
71,554,10,1,2,Will buy again,2022-07-05
72,877,20,387,5,Poor quality,2022-06-27
73,543,8,475,1,Will buy again,2020-03-08
74,767,19,372,3,Poor quality,2022-04-22
75,911,5,500,2,Poor quality,2023-07-14
76,171,18,299,1,Will buy again,2023-06-17
77,408,9,311,3,Will buy again,2022-07-26
78,918,2,89,3,Poor quality,2021-10-11
79,727,11,199,3,Great!,2022-11-21
80,56,3,38,1,Will buy again,2021-10-31
81,418,2,409,5,Poor quality,2022-11-05
82,82,1,420,4,Great!,2021-03-16
83,119,18,410,4,Great!,2023-07-18
84,917,7,305,bad,Poor quality,2022-05-18
85,513,7,348,4,Too expensive,2020-11-17
86,544,2,375,3,Too expensive,2020-05-28
87,608,18,99,4,Will buy again,2041-05-12
88,724,15,477,3,Will buy again,2022-09-28
89,366,4,230,3,Too expensive,2020-09-13
90,846,14,311,4,Too expensive,2020-01-28
91,18,9,299,4,Poor quality,2020-12-04
92,255,14,7,3,Will buy again,2023-01-11
93,972,18,348,4,Great!,2023-07-26
94,625,6,383,3,Too expensive,2022-06-20
95,892,10,131,3,Poor quality,2020-02-25
96,19,5,420,5,Great!,2021-03-23
97,582,1,325,4,Too expensive,2023-05-28
98,792,12,480,1,Will buy again,2023-04-12
99,209,16,127,4,Great!,2021-07-18
100,85,6,446,4,Great!,2021-12-06
101,207,19,472,bad,Great!,2100-05-21
102,480,6,251,2,Great!,2023-04-25
103,647,14,9,5,Poor quality,2023-02-28
104,993,1,342,2,Poor quality,2020-11-24
105,534,10,138,4,Great!,2020-04-25
106,765,14,383,1,Too expensive,2020-01-25
107,326,11,301,4,Poor quality,2022-05-21
108,384,12,139,bad,Poor quality,2020-10-12
109,109,13,261,2,Poor quality,2023-04-11
110,80,13,169,5,Great!,2023-01-13
111,137,3,253,bad,Too expensive,2022-12-27
112,972,3,73,bad,Will buy again,2020-07-24
113,522,10,102,bad,Poor quality,2022-11-18
114,745,9,97,3,Poor quality,2021-07-13
115,969,13,484,4,Too expensive,2020-10-25
116,307,2,226,2,Will buy again,2020-12-21
117,600,20,366,5,Poor quality,2023-03-12
118,285,19,4,2,Great!,2020-10-24
119,652,17,210,1,Poor quality,2020-07-12
120,93,1,174,4,Great!,2021-01-28
121,589,7,184,4,Great!,2022-11-26
122,174,10,425,5,Will buy again,2020-12-16
123,255,12,436,2,Great!,2020-02-23
124,502,17,322,bad,Poor quality,2020-02-09
125,596,20,434,4,Poor quality,2041-03-06
126,113,16,40,5,Too expensive,2020-03-13
