inventory_id,store_id,product_id,quantity,last_updated
1,19,230,0,2022-06-26
2,16,91,0,2022-10-26
3,16,170,0,2022-12-19
4,10,292,54,2022-02-09
5,10,398,0,2022-05-28
6,14,498,0,2022-10-21
7,11,412,0,2022-09-21
8,18,455,94,2022-04-03
9,2,491,0,2022-06-11
10,13,160,0,2022-11-21
11,9,322,0,2022-01-22
12,15,96,80,2022-04-08
13,2,456,0,2022-03-11
14,5,191,0,2022-09-28
15,16,496,0,2022-01-03
16,15,173,0,2022-02-16
17,13,38,0,2022-07-09
18,9,459,18,2022-02-19
19,14,53,0,2022-03-17
20,16,143,0,2022-02-17
21,11,210,0,2022-07-30
22,2,298,0,2022-06-27
23,8,365,0,2022-12-14
24,11,441,0,2022-09-01
25,18,232,0,2022-04-12
26,10,457,0,2022-08-09
27,15,493,0,2022-12-04
28,17,33,0,2022-04-07
29,1,318,0,2022-07-09
30,10,100,0,2022-07-02
31,7,420,0,2022-08-30
32,10,456,0,2022-09-05
33,3,110,0,2022-11-25
34,5,354,10,2022-07-06
35,8,2,0,2022-07-10
36,5,205,0,2022-10-11
37,2,473,0,2022-11-07
38,20,383,0,2022-11-08
39,12,192,0,2022-03-24
40,13,84,0,2022-03-02
41,5,400,0,2022-07-09
42,9,475,0,2022-09-15
43,5,487,0,2022-11-27
44,8,130,0,2022-12-30
45,13,337,0,2022-02-21
46,1,312,0,2022-01-10
47,10,22,0,2022-01-23
48,6,83,0,2022-03-07
49,8,348,0,2022-04-10
50,20,98,0,2022-09-05
51,18,174,0,2022-05-14
52,5,498,0,2022-02-11
53,20,77,56,2022-10-16
54,19,302,45,2022-07-31
55,5,15,0,2022-07-09
56,20,88,0,2022-10-15
57,3,322,0,2022-05-12
58,9,20,0,2022-01-20
59,7,115,0,2022-02-06
60,11,150,87,2022-03-19
61,1,231,0,2022-11-09
62,7,80,0,2022-01-13
63,3,106,0,2022-02-13
64,1,55,0,2022-07-28
65,13,308,0,2022-06-11
66,8,354,0,2022-03-01
67,5,348,0,2022-12-25
68,1,84,0,2022-07-10
69,9,9,0,2022-09-24
70,3,419,90,2022-07-04
71,9,10,0,2022-09-11
72,12,277,0,2022-09-05
73,2,306,0,2022-03-24
74,18,37,81,2022-11-16
75,6,20,0,2022-09-29
76,15,179,0,2022-07-06
77,9,214,5,2022-09-02
78,16,466,0,2022-02-26
79,12,499,0,2022-11-26
80,6,246,0,2022-08-12
81,2,195,0,2022-10-08
82,14,240,68,2022-06-07
83,10,260,0,2022-09-28
84,15,17,0,2022-12-02
85,10,341,0,2022-09-05
86,5,489,32,2022-03-17
87,15,228,0,2022-05-06
88,12,222,0,2022-11-23
89,10,409,0,2022-10-01
90,19,370,0,2022-05-21
91,13,31,0,2022-05-10
92,9,91,0,2022-09-30
93,4,416,0,2022-05-22
94,9,100,0,2022-03-18
95,9,301,0,2022-10-29
96,1,446,0,2022-04-03
97,17,296,76,2022-09-11
98,9,13,0,2022-08-30
99,16,229,30,2022-12-07
100,12,47,0,2022-06-10
101,1,321,59,2022-01-12
102,11,86,0,2022-10-13
103,7,306,0,2022-11-23
104,10,116,0,2022-10-11
105,7,50,0,2022-10-25
106,3,65,0,2022-06-02
107,19,341,0,2022-06-11
108,16,370,9,2022-11-25
109,1,152,0,2022-01-10
110,5,289,35,2022-07-22
111,12,408,0,2022-04-05
112,5,411,0,2022-04-09
113,7,474,0,2022-07-31
114,13,402,0,2022-03-29
115,7,57,0,2022-07-11
116,14,281,0,2022-11-15
117,7,449,65,2022-12-24
118,3,194,43,2022-08-21
119,9,259,0,2022-04-26
120,13,338,0,2022-11-14
121,6,498,0,2022-01-19
122,12,339,0,2022-05-19
123,13,219,0,2022-09-09
124,18,45,0,2022-07-26
125,19,54,0,2022-07-29
126,15,109,0,2022-01-24
127,13,172,0,2022-02-24
128,12,323,0,2022-09-27
129,15,45,19,2022-01-28
130,9,29,0,2022-05-30
131,16,198,0,2022-08-11
132,18,434,0,2022-11-25
133,10,149,0,2022-10-17
134,12,87,0,2022-02-20
135,17,484,0,2022-01-04
136,1,370,21,2022-09-29
137,14,293,87,2022-09-12
138,12,341,0,2022-04-20
139,17,355,0,2022-01-17
140,10,401,0,2022-05-05
141,11,206,0,2022-12-09
142,9,276,0,2022-08-22
143,3,84,0,2022-09-01
144,19,349,0,2022-02-03
145,10,405,0,2022-12-06
146,20,384,0,2022-12-10
147,10,236,0,2022-08-10
148,17,263,0,2022-01-10
149,6,277,0,2022-11-29
150,13,367,0,2022-10-19
151,6,35,0,2022-05-28
152,5,153,0,2022-03-07
153,10,119,0,2022-05-23
154,11,473,0,2022-04-12
155,7,262,0,2022-09-08
156,8,486,0,2022-01-29
157,4,207,0,2022-02-02
158,17,313,0,2022-06-18
159,1,138,0,2022-09-25
160,10,397,0,2022-08-11
161,10,328,0,2022-08-01
162,8,89,0,2022-06-29
163,16,160,0,2022-04-30
164,20,185,0,2022-09-10
165,9,156,0,2022-07-02
166,7,130,0,2022-01-27
167,2,260,37,2022-12-29
168,8,439,0,2022-07-07
169,11,91,0,2022-04-02
170,15,491,0,2022-10-11
171,9,392,0,2022-10-04
172,11,111,27,2022-05-02
173,18,304,13,2022-03-02
174,13,181,0,2022-12-11
175,3,319,0,2022-12-22
176,20,421,0,2022-10-23
177,1,217,0,2022-01-13
178,13,356,0,2022-09-28
179,5,6,75,2022-05-12
180,3,354,93,2022-10-23
181,17,111,0,2022-02-10
182,6,178,7,2022-04-17
183,7,210,0,2022-08-16
184,6,232,0,2022-11-15
185,12,160,0,2022-06-03
186,2,225,0,2022-12-24
187,16,250,0,2022-08-17
188,9,97,0,2022-05-06
189,4,1,0,2022-02-02
190,5,181,0,2022-10-08
191,8,273,66,2022-07-15
192,1,75,0,2022-03-08
193,7,403,0,2022-08-16
194,2,71,0,2022-08-02
195,4,137,0,2022-07-04
196,9,387,0,2022-04-23
197,6,124,0,2022-10-06
198,9,354,0,2022-03-08
199,18,46,0,2022-11-30
200,4,12,0,2022-06-18
201,7,469,0,2022-02-13
202,19,226,0,2022-04-02
203,1,346,0,2022-07-16
204,15,239,11,2022-08-09
205,1,131,0,2022-12-25
206,15,323,0,2022-01-26
207,8,343,7,2022-06-09
208,16,432,0,2022-08-14
