payment_id,method,status,paid_at
1,Cash,Pending,2022-05-28
2,Card,Completed,2022-01-20
3,Card,Pending,2022-04-13
4,Online,Pending,2022-11-04
5,Card,Pending,2022-02-06
6,Online,Pending,2022-09-01
7,Card,Pending,2022-10-26
8,Card,Pending,2022-04-19
9,Online,Pending,2022-11-08
10,Cash,Pending,2022-01-06
11,Card,Completed,2022-09-29
12,Online,Pending,2022-01-05
13,Cash,Completed,2022-02-05
14,Cash,Completed,2022-11-27
15,Cash,Completed,2022-11-28
16,Card,Pending,2022-04-15
17,Card,Pending,2022-10-10
18,Card,Pending,2022-10-09
19,Online,Completed,2022-10-16
20,Online,Pending,2022-07-08
21,Card,Pending,2022-06-13
22,Cash,Pending,2022-02-01
23,Cash,Completed,2022-07-28
24,Cash,Pending,2022-05-12
25,Cash,Completed,2022-04-16
26,Online,Pending,2022-01-10
27,Cash,Pending,2022-06-12
28,Online,Pending,2022-09-06
29,Online,Pending,2022-10-31
30,Online,Completed,2022-07-30
31,Card,Completed,2022-11-08
32,Card,Pending,2022-10-06
33,Online,Pending,2022-09-26
34,Online,Completed,2022-03-29
35,Cash,Completed,2022-02-28
36,Card,Completed,2022-08-26
37,Online,Pending,2022-09-29
38,Card,Pending,2022-02-10
39,Online,Completed,2022-09-06
40,Online,Completed,2022-01-02
41,Online,Pending,2022-08-21
42,Cash,Completed,2022-04-29
43,Online,Completed,2022-03-12
44,Card,Completed,2022-06-04
45,Card,Pending,2022-01-29
46,Online,Completed,2022-03-18
47,Online,Completed,2022-09-03
48,Cash,Completed,2022-12-05
49,Cash,Completed,2022-05-06
50,Cash,Completed,2022-01-04
51,Card,Pending,2022-12-22
52,Card,Pending,2022-09-04
53,Card,Completed,2022-03-14
54,Online,Pending,2022-09-15
55,Online,Completed,2022-07-12
56,Cash,Completed,2022-01-03
57,Cash,Pending,2022-04-09
58,Card,Completed,2022-12-08
59,Cash,Completed,2022-08-21
60,Online,Pending,2022-11-14
61,Cash,Pending,2022-08-03
62,Cash,Pending,2022-11-03
63,Online,Completed,2022-04-18
64,Cash,Completed,2022-11-08
65,Card,Pending,2022-10-06
66,Cash,Pending,2022-01-31
67,Cash,Pending,2022-03-06
68,Card,Completed,2022-03-15
69,Cash,Completed,2022-02-17
70,Card,Pending,2022-10-16
71,Card,Pending,2022-02-07
72,Card,Pending,2022-05-07
73,Cash,Pending,2022-10-09
74,Card,Completed,2022-09-16
75,Cash,Pending,2022-09-04
76,Card,Completed,2022-10-23
77,Online,Completed,2022-11-27
78,Online,Pending,2022-01-05
79,Card,Completed,2022-12-18
80,Cash,Pending,2022-03-31
81,Card,Completed,2022-05-23
82,Card,Pending,2022-01-18
83,Card,Completed,2022-11-09
84,Online,Completed,2022-06-12
85,Cash,Completed,2022-07-03
86,Card,Completed,2022-11-13
87,Online,Pending,2022-05-27
88,Card,Pending,2022-06-26
89,Card,Pending,2022-10-02
90,Cash,Completed,2022-05-08
91,Online,Pending,2022-10-12
92,Online,Pending,2022-06-01
93,Online,Completed,2022-02-27
94,Online,Pending,2022-08-28
95,Cash,Pending,2022-10-03
96,Online,Pending,2022-04-28
97,Card,Completed,2022-10-30
98,Cash,Completed,2022-04-05
99,Online,Completed,2022-12-11
100,Card,Completed,2022-10-22
101,Card,Pending,2022-07-31
102,Card,Completed,2022-07-29
103,Cash,Pending,2022-11-27
104,Online,Completed,2022-11-21
105,Online,Completed,2022-07-19
106,Online,Completed,2022-01-06
107,Online,Completed,2022-10-25
108,Card,Completed,2022-07-03
109,Online,Completed,2022-12-30
110,Card,Pending,2022-11-27
111,Card,Completed,2022-08-23
112,Online,Pending,2022-10-18
113,Cash,Completed,2022-05-19
