history_id,product_id,price,effective_date
1,160,495.09,2023-09-15
2,116,N/A,2071-08-27
3,131,208.78,2021-02-12
4,118,107.62,2023-06-25
5,76,N/A,2020-11-03
6,4,30.16,2020-03-05
7,394,330.99,2023-01-18
8,279,268.43,2022-06-19
9,45,282.96,2021-08-08
10,427,295.98,2021-03-29
11,423,321.12,2022-03-28
12,165,N/A,2020-07-08
13,102,N/A,2021-09-26
14,280,128.99,2037-02-28
15,217,54.5,2041-10-03
16,231,107.91,2021-12-30
17,65,18.55,2094-04-18
18,103,127.37,2022-03-11
19,374,455.3,2020-08-09
20,221,312.9,2023-07-23
21,272,97.71,2023-08-02
22,457,351.89,2021-02-02
23,78,332.53,2022-04-25
24,90,216.01,2022-06-27
25,482,419.72,2023-08-25
26,144,348.67,2023-06-24
27,433,247.32,2023-08-07
28,239,N/A,2038-01-14
29,194,66.67,2021-06-20
30,488,321.26,2023-10-08
31,274,N/A,2023-09-03
32,318,476.14,2022-01-16
33,228,N/A,2020-09-27
34,106,304.78,2022-09-29
35,419,91.56,2022-01-01
36,305,296.09,2021-12-08
37,352,454.4,2021-06-02
38,103,435.11,2022-03-27
39,10,200.68,2021-12-13
40,25,269.75,2020-11-22
41,240,188.64,2020-11-15
42,273,236.28,2022-11-26
43,107,466.45,2023-12-26
44,461,358.56,2020-07-12
45,382,477.72,2022-01-01
46,26,323.26,2022-10-24
47,315,N/A,2022-01-25
48,488,231.89,2021-11-24
49,67,313.8,2023-07-12
50,190,N/A,2020-11-11
51,338,180.08,2023-10-28
52,240,219.51,2073-04-09
53,101,N/A,2023-02-03
54,471,330.51,2020-11-14
55,329,368.64,2022-08-14
56,251,N/A,2021-07-28
57,81,203.39,2023-05-26
58,110,26.17,2022-07-15
59,301,440.99,2070-02-12
60,114,174.15,2021-06-11
61,330,321.28,2020-06-12
62,406,322.74,2022-02-20
63,437,414.97,2091-01-14
64,269,380.46,2021-02-05
65,131,239.55,2021-02-12
66,497,99.46,2020-07-15
67,261,N/A,2023-06-25
68,159,416.3,2023-01-17
69,30,54.28,2020-03-27
70,109,389.78,2021-01-24
71,216,87.64,2023-07-28
72,332,191.51,2022-08-10
73,152,201.59,2023-07-13
74,234,82.45,2068-02-28
75,65,363.67,2023-11-22
76,68,91.68,2021-12-31
77,66,120.75,2023-06-22
78,423,479.89,2022-06-01
79,412,9.59,2022-10-30
80,73,303.01,2023-10-13
81,3,143.15,2021-04-14
82,52,193.8,2020-06-29
83,459,498.89,2021-04-16
84,385,271.14,2022-03-06
85,229,N/A,2022-02-05
86,421,99.7,2021-03-21
87,307,288.07,2023-10-13
88,16,288.2,2020-01-22
89,423,270.69,2021-03-25
90,142,381.71,2022-05-27
91,110,226.96,2022-05-23
92,158,105.45,2022-09-29
93,381,6.29,2020-04-14
94,56,N/A,2020-02-28
95,427,348.62,2022-06-07
96,265,350.12,2079-00-05
97,163,385.61,2023-10-16
98,115,51.74,2020-08-06
99,357,263.08,2021-06-29
100,120,357.73,2023-04-24
101,291,N/A,2046-01-03
102,281,52.6,2021-10-17
103,115,94.53,2022-06-25
104,348,75.18,2020-04-05
105,39,139.41,2020-06-03
106,489,279.37,2020-09-13
107,301,47.94,2023-10-10
108,82,38.59,2020-05-18
109,429,386.39,2022-12-27
110,411,51.89,2020-02-22
111,303,301.43,2023-08-30
112,396,351.55,2021-11-13
113,233,329.72,2020-12-17
114,283,110.61,2022-01-10
115,476,116.34,2021-12-15
116,104,341.48,2054-05-19
117,397,397.71,2020-06-24
118,225,N/A,2021-04-26
119,449,306.1,2020-12-14
120,179,164.41,2022-08-30
121,227,111.01,2076-07-06
122,381,190.36,2021-01-07
123,114,365.84,2022-07-20
124,219,281.27,2021-06-06
125,168,492.85,2021-03-16
126,201,220.41,2021-05-26
127,319,332.11,2022-11-30
128,498,216.01,2021-07-31
129,122,72.85,2023-12-07
130,358,221.04,2022-08-04
131,19,434.82,2023-06-02
132,303,437.24,2022-07-28
133,58,206.86,2020-11-04
134,401,385.85,2022-03-12
135,191,426.29,2022-04-20
136,44,427.49,2022-05-11
137,227,183.44,2023-03-24
138,64,368.01,2020-07-16
139,134,176.55,2021-03-22
140,478,92.6,2021-12-12
141,160,106.9,2021-06-08
142,443,185.2,2020-01-29
143,436,63.62,2045-10-11
144,1,221.62,2021-08-30
145,416,224.97,2023-01-19
146,120,337.71,2020-12-07
147,457,25.5,2020-07-04
148,78,410.12,2022-09-12
149,162,134.65,2021-07-24
150,325,16.65,2020-07-26
151,389,N/A,2022-06-27
152,42,29.92,2021-10-20
153,225,32.35,2020-08-03
154,246,397.13,2021-01-05
155,22,239.12,2020-09-29
156,312,118.2,2020-11-19
157,369,413.04,2022-10-31
158,175,356.53,2023-03-24
159,277,446.5,2022-07-06
160,350,65.03,2020-08-30
161,57,210.68,2021-02-06
162,431,121.84,2021-02-15
163,351,N/A,2023-01-19
164,146,438.71,2021-09-30
165,60,380.48,2021-06-13
166,443,359.88,2020-11-13
167,292,5.44,2020-04-08
168,11,434.45,2022-07-08
169,262,238.37,2020-03-08
170,55,295.27,2022-09-17
171,139,248.07,2022-01-19
172,100,22.13,2020-09-29
173,450,263.61,2023-09-01
174,350,106.99,2023-05-27
175,294,283.4,2023-10-26
176,410,86.24,2020-06-14
177,411,403.17,2022-01-25
178,446,304.04,2022-03-21
179,148,19.3,2023-11-18
180,103,35.39,2022-09-29
181,423,112.18,2073-08-07
182,259,350.57,2023-10-01
183,299,167.81,2020-08-28
184,334,N/A,2022-04-12
185,313,153.03,2023-09-26
186,255,N/A,2020-05-22
187,301,119.6,2023-04-25
188,369,177.57,2023-09-17
189,173,481.18,2021-10-08
190,271,334.43,2022-05-10
191,294,273.28,2021-07-08
192,180,388.8,2023-05-25
193,272,376.04,2021-12-11
194,469,481.75,2020-10-25
195,186,54.55,2020-01-22
196,500,165.24,2021-02-11
197,93,20.31,2020-01-06
198,251,285.25,2060-09-15
199,162,N/A,2036-03-17
200,351,N/A,2022-06-04
201,174,382.57,2021-03-13
202,322,20.94,2022-01-18
203,41,N/A,2021-08-12
204,141,142.35,2020-03-09
205,4,206.06,2023-04-21
206,231,300.45,2023-02-28
207,10,134.0,2022-07-09
208,31,87.4,2020-06-21
209,209,250.0,2021-06-03
210,363,216.82,2021-04-18
211,234,289.05,2022-11-05
212,340,473.27,2023-11-29
213,329,181.07,2020-10-10
214,418,332.24,2023-03-22
215,12,13.33,2020-06-28
216,165,64.97,2021-03-20
217,228,199.4,2022-07-04
218,143,301.8,2022-12-25
219,157,396.22,2021-11-30
220,147,34.1,2086-08-04
221,7,149.49,2060-09-25
222,67,21.32,2020-12-05
223,30,N/A,2020-04-10
224,170,325.58,2021-04-24
225,61,240.91,2023-01-21
226,354,63.16,2021-05-26
227,24,17.64,2023-02-03
228,136,108.84,2022-10-15
229,357,N/A,2083-01-01
230,2,95.64,2022-12-06
231,409,250.71,2021-05-03
