return_id,item_id,reason,return_date
1,37530,Wrong item,2100-06-02
2,3636,Wrong item,2020-12-25
3,31810,Customer changed mind,2023-09-23
4,56910,Customer changed mind,2022-07-02
5,30552,Customer changed mind,2022-06-01
6,31975,Wrong item,2023-03-29
7,66218,Customer changed mind,2023-08-30
8,34369,Damaged,2021-03-02
9,45553,Damaged,2022-02-21
10,75539,Damaged,2023-03-19
11,99621,Wrong item,2088-04-07
12,30715,Damaged,2023-08-27
13,73285,Customer changed mind,2022-09-11
14,13903,Customer changed mind,2020-12-28
15,6076,Wrong item,2021-05-04
16,43903,Wrong item,2022-08-28
17,22085,Damaged,2022-10-28
18,91406,Wrong item,2070-01-03
19,80086,Damaged,2021-01-29
20,78635,Damaged,2022-06-04
21,23311,Customer changed mind,2023-08-07
22,88026,Wrong item,2020-08-14
23,21964,Damaged,2020-07-14
24,98552,Damaged,2020-11-08
25,26630,Damaged,2021-08-10
26,78184,Customer changed mind,2023-08-12
27,65145,Customer changed mind,2023-12-10
28,28362,Customer changed mind,2023-05-15
29,83086,Customer changed mind,2033-00-28
30,34185,Damaged,2022-08-03
31,85149,Customer changed mind,2020-06-18
32,30520,Customer changed mind,2023-11-07
33,91235,Wrong item,2020-01-25
34,28078,Customer changed mind,2023-01-24
35,2652,Damaged,2023-09-18
36,31548,Damaged,2022-03-26
37,74289,Wrong item,2020-01-16
38,50727,Wrong item,2021-07-17
39,11865,Wrong item,2023-09-07
40,17666,Wrong item,2020-02-18
41,59990,Damaged,2021-04-10
42,57458,Customer changed mind,2021-06-25
43,10597,Wrong item,2021-07-14
44,94308,Wrong item,2020-06-28
45,96271,Customer changed mind,2020-12-11
46,40011,Damaged,2022-11-05
47,63617,Wrong item,2022-11-04
48,54003,Wrong item,2023-06-12
49,93905,Wrong item,2021-09-01
50,61994,Customer changed mind,2022-05-22
51,17876,Customer changed mind,2022-01-27
52,11828,Damaged,2020-12-07
53,67120,Wrong item,2055-06-17
54,35514,Customer changed mind,2020-09-14
55,91445,Damaged,2020-01-12
56,68082,Damaged,2021-08-28
57,99658,Customer changed mind,2048-04-20
58,75331,Damaged,2020-03-08
59,9417,Damaged,2022-05-15
60,61717,Customer changed mind,2020-11-19
61,25607,Wrong item,2021-03-31
62,9249,Damaged,2023-07-07
63,8241,Damaged,2077-00-14
64,64285,Customer changed mind,2021-11-02
65,3811,Customer changed mind,2021-12-22
66,82168,Wrong item,2020-10-10
67,22627,Customer changed mind,2021-11-27
68,16879,Wrong item,2050-10-01
69,28004,Wrong item,2020-08-21
70,93945,Customer changed mind,2022-10-27
71,16066,Damaged,2023-08-19
72,76092,Wrong item,2021-06-11
73,18758,Damaged,2021-11-11
74,11745,Wrong item,2020-01-05
75,45467,Damaged,2023-01-13
76,6341,Customer changed mind,2023-01-07
77,2801,Customer changed mind,2059-05-18
78,30445,Wrong item,2020-06-15
79,66149,Wrong item,2020-10-25
80,45329,Wrong item,2022-06-22
81,7062,Customer changed mind,2020-06-26
82,44319,Damaged,2021-12-02
83,41634,Wrong item,2022-10-01
84,55934,Damaged,2021-10-18
85,34599,Customer changed mind,2020-02-11
86,34395,Damaged,2020-03-15
87,26596,Damaged,2022-04-21
88,13992,Wrong item,2022-11-03
89,9444,Wrong item,2020-07-08
90,85283,Customer changed mind,2020-10-01
91,87287,Damaged,2022-06-21
92,46774,Customer changed mind,2022-06-20
93,225,Damaged,2023-12-18
94,96618,Customer changed mind,2022-09-11
95,60710,Damaged,2020-03-17
96,67592,Customer changed mind,2021-04-23
97,9299,Wrong item,2022-08-04
98,77793,Customer changed mind,2020-03-16
99,23356,Damaged,2020-12-17
100,31177,Wrong item,2021-07-08
101,74501,Wrong item,2022-05-25
102,27973,Damaged,2022-11-10
103,16318,Wrong item,2023-11-28
104,44324,Wrong item,2021-07-31
105,76658,Customer changed mind,2023-02-08
106,29216,Damaged,2022-10-04
107,31280,Customer changed mind,2020-11-22
108,93229,Wrong item,2022-04-18
109,46305,Wrong item,2020-01-03
110,58554,Wrong item,2021-11-25
111,1553,Wrong item,2020-01-10
112,84399,Customer changed mind,2021-11-07
113,43524,Damaged,2020-04-08
114,34796,Wrong item,2020-10-04
115,40570,Customer changed mind,2021-06-16
116,58398,Damaged,2020-03-11
117,88860,Wrong item,2023-10-07
118,8796,Wrong item,2022-05-11
119,43131,Customer changed mind,2020-10-01
120,33177,Damaged,2021-07-17
121,43190,Customer changed mind,2023-08-30
122,24343,Wrong item,2022-05-25
123,29256,Damaged,2020-11-29
124,71896,Wrong item,2023-12-13
125,90294,Damaged,2021-09-08
126,35674,Customer changed mind,2022-06-22
127,16854,Wrong item,2020-03-30
128,45587,Damaged,2020-05-12
129,75415,Customer changed mind,2057-04-26
130,33331,Customer changed mind,2023-08-09
131,59138,Customer changed mind,2021-03-16
132,3096,Customer changed mind,2021-11-17
133,98732,Customer changed mind,2037-10-28
134,96601,Wrong item,2022-03-21
135,76979,Customer changed mind,2023-02-08
136,42945,Wrong item,2020-12-12
137,19892,Wrong item,2020-10-02
138,6638,Wrong item,2021-11-17
139,46580,Wrong item,2023-02-21
140,22860,Customer changed mind,2021-03-30
141,64663,Damaged,2021-02-11
142,12219,Damaged,2020-11-30
143,63266,Damaged,2021-07-30
144,63133,Wrong item,2022-05-10
145,35768,Damaged,2022-12-08
146,99070,Customer changed mind,2068-09-16
147,92514,Wrong item,2022-02-07
148,95856,Wrong item,2023-11-14
149,40214,Customer changed mind,2020-07-09
150,16582,Customer changed mind,2082-10-05
151,17511,Damaged,2020-01-04
152,24746,Wrong item,2022-01-03
153,2956,Damaged,2042-03-15
154,56942,Wrong item,2021-09-12
155,64698,Customer changed mind,2021-07-09
156,65738,Wrong item,2023-07-16
157,3584,Wrong item,2021-05-13
158,31912,Wrong item,2023-08-07
159,11215,Customer changed mind,2023-01-07
160,49534,Customer changed mind,2023-11-17
161,22264,Wrong item,2020-05-21
162,39314,Damaged,2023-01-22
163,9958,Damaged,2020-01-31
164,84712,Wrong item,2022-08-16
165,62347,Damaged,2023-10-02
166,22100,Customer changed mind,2022-02-28
167,34196,Damaged,2033-00-21
168,63319,Customer changed mind,2020-01-29
169,6764,Damaged,2020-02-12
170,8826,Wrong item,2023-11-30
171,83089,Damaged,2023-01-10
172,8624,Wrong item,2023-09-12
173,56332,Customer changed mind,2021-10-19
174,85645,Wrong item,2023-12-04
175,9535,Wrong item,2020-02-28
176,94435,Customer changed mind,2023-08-03
177,7128,Damaged,2021-07-01
178,93093,Customer changed mind,2021-06-17
179,52725,Damaged,2020-11-17
180,5868,Damaged,2020-09-18
181,37371,Wrong item,2020-04-23
182,25539,Damaged,2022-02-20
183,30623,Wrong item,2020-01-05
184,19805,Damaged,2023-11-23
185,76024,Damaged,2060-00-07
186,72908,Customer changed mind,2023-06-09
187,51003,Customer changed mind,2020-11-20
188,75560,Wrong item,2021-09-26
189,6264,Wrong item,2023-10-28
190,75082,Damaged,2021-01-05
191,9969,Damaged,2021-10-26
192,14915,Wrong item,2023-01-26
193,41134,Customer changed mind,2076-10-26
194,70433,Damaged,2023-01-20
195,52590,Damaged,2022-10-01
196,75209,Wrong item,2023-02-18
197,36413,Customer changed mind,2020-08-13
198,59980,Damaged,2020-08-02
199,44023,Damaged,2023-11-13
200,84833,Damaged,2022-08-19
201,26995,Customer changed mind,2020-08-20
202,60469,Customer changed mind,2022-04-22
203,92870,Damaged,2093-10-25
204,1099,Customer changed mind,2023-10-22
205,90102,Wrong item,2023-09-17
206,47252,Wrong item,2020-12-14
207,94515,Customer changed mind,2021-07-27
208,21352,Customer changed mind,2021-08-03
209,35872,Wrong item,2045-10-07
210,56487,Customer changed mind,2020-10-15
211,11495,Customer changed mind,2020-11-22
212,46989,Damaged,2022-12-03
213,95302,Wrong item,2022-04-16
214,42828,Damaged,2022-05-16
215,55213,Wrong item,2020-05-03
216,84352,Customer changed mind,2022-07-20
217,85961,Customer changed mind,2022-05-04
218,61117,Customer changed mind,2022-04-09
219,12821,Wrong item,2022-11-21
220,72296,Wrong item,2022-03-25
221,57992,Damaged,2023-11-11
222,80971,Customer changed mind,2020-09-06
223,29349,Customer changed mind,2023-01-24
224,25814,Customer changed mind,2020-03-10
225,91518,Wrong item,2021-04-13
226,84471,Wrong item,2022-11-06
227,5845,Wrong item,2022-08-09
228,53591,Customer changed mind,2020-07-17
229,9097,Customer changed mind,2022-02-25
230,69990,Wrong item,2020-06-06
231,4754,Damaged,2020-06-20
232,40091,Customer changed mind,2023-06-20
233,7203,Wrong item,2023-03-01
234,69286,Wrong item,2040-06-01
235,90020,Wrong item,2020-05-18
236,32811,Customer changed mind,2020-07-26
237,44952,Wrong item,2063-01-09
238,24056,Customer changed mind,2020-08-30
239,64321,Damaged,2022-06-27
240,21783,Wrong item,2023-04-29
241,92041,Wrong item,2020-04-11
242,17593,Damaged,2023-12-10
243,53421,Wrong item,2021-10-25
244,6781,Wrong item,2021-01-25
245,43924,Wrong item,2022-12-28
246,42636,Wrong item,2020-04-23
247,96649,Damaged,2022-05-30
248,87222,Customer changed mind,2023-02-09
249,19098,Damaged,2023-02-03
250,45096,Wrong item,2044-05-04
251,86928,Wrong item,2020-06-10
252,55145,Damaged,2023-11-29
253,70664,Customer changed mind,2020-01-13
254,29194,Customer changed mind,2023-06-07
255,72793,Damaged,2022-01-29
256,80047,Damaged,2021-01-28
257,74293,Customer changed mind,2023-02-13
258,54184,Wrong item,2022-12-15
259,15101,Damaged,2020-11-27
260,65655,Damaged,2023-06-12
261,53679,Customer changed mind,2030-08-17
262,2013,Damaged,2020-03-24
263,28759,Damaged,2022-08-20
264,17118,Customer changed mind,2022-06-07
265,50798,Customer changed mind,2022-05-17
266,92898,Customer changed mind,2023-12-15
267,42553,Customer changed mind,2021-07-25
268,39328,Damaged,2023-08-23
269,54580,Wrong item,2022-01-20
270,80099,Wrong item,2022-12-01
271,85558,Damaged,2020-05-17
272,4179,Damaged,2021-03-04
273,84243,Customer changed mind,2023-10-20
274,36493,Wrong item,2021-04-03
275,70539,Damaged,2021-09-24
276,93633,Wrong item,2023-04-12
277,11962,Wrong item,2053-06-25
278,35979,Wrong item,2044-02-12
279,55612,Customer changed mind,2021-10-22
280,38582,Wrong item,2021-06-21
281,21732,Damaged,2021-09-03
282,250,Customer changed mind,2020-08-03
283,93395,Customer changed mind,2022-10-12
284,77418,Wrong item,2021-09-15
285,33195,Wrong item,2020-08-18
286,49375,Wrong item,2058-06-20
287,83050,Wrong item,2022-02-24
288,5953,Wrong item,2022-01-03
289,12779,Customer changed mind,2020-06-18
290,39158,Damaged,2021-09-03
291,53061,Wrong item,2022-11-20
292,97156,Customer changed mind,2023-12-27
293,88455,Damaged,2023-08-01
294,22851,Customer changed mind,2021-09-19
