transaction_id,customer_id,store_id,employee_id,transaction_date,total_amount,payment_id
1,38,8,193,2022-05-28,0.0,1
2,474,1,161,2022-01-20,21758.0,2
3,111,3,190,2022-04-13,19205.879999999997,3
4,729,14,32,2022-11-04,19397.3,4
5,16,11,63,2022-02-06,160.16,5
6,1,9,192,2022-09-01,0.0,6
7,330,6,86,2022-10-26,1349.0900000000001,7
8,270,2,93,2022-04-19,203.35999999999999,8
9,272,12,152,2022-11-08,0.0,9
10,930,15,139,2022-01-06,15216.789999999999,10
11,492,5,151,2022-09-29,0.0,11
12,741,20,27,2022-01-05,920.7599999999999,12
13,407,4,198,2022-02-05,0.0,13
14,117,4,132,2022-11-27,1128.3600000000001,14
15,599,3,148,2022-11-28,25613.000000000004,15
16,820,12,121,2022-04-15,1915.5800000000002,16
17,918,2,137,2022-10-10,7039.5,17
18,234,17,86,2022-10-09,12218.140000000001,18
19,550,18,78,2022-10-16,3300.78,19
20,295,12,117,2022-07-08,36801.75,20
21,919,20,186,2022-06-13,20285.660000000003,21
22,198,8,3,2022-02-01,0.0,22
23,906,11,32,2022-07-28,13520.0,23
24,559,4,141,2022-05-12,56852.16,24
25,319,9,106,2022-04-16,9181.92,25
26,895,6,143,2022-01-10,33987.86,26
27,218,1,164,2022-06-12,0.0,27
28,608,17,168,2022-09-06,77181.51999999999,28
29,361,15,34,2022-10-31,13703.82,29
30,781,9,12,2022-07-30,32791.770000000004,30
31,226,10,31,2022-11-08,43645.56,31
32,793,18,83,2022-10-06,258.84000000000003,32
33,898,12,125,2022-09-26,0.0,33
34,438,8,62,2022-03-29,26775.059999999998,34
35,49,2,158,2022-02-28,12182.74,35
36,274,2,102,2022-08-26,15233.1,36
37,283,17,145,2022-09-29,262.92999999999995,37
38,187,18,168,2022-02-10,0.0,38
39,606,20,151,2022-09-06,46081.20999999999,39
40,473,11,6,2022-01-02,33544.36,40
41,311,16,77,2022-08-21,10795.579999999998,41
42,826,3,47,2022-04-29,0.0,42
43,781,1,146,2022-03-12,0.0,43
44,803,6,165,2022-06-04,23578.819999999996,44
45,471,5,161,2022-01-29,33568.96,45
46,797,8,49,2022-03-18,14103.4,46
47,249,12,108,2022-09-03,271.03999999999996,47
48,854,7,38,2022-12-05,281.34999999999997,48
49,469,9,97,2022-05-06,23102.040000000005,49
50,28,3,82,2022-01-04,0.0,50
51,11,6,60,2022-12-22,0.0,51
52,708,2,114,2022-09-04,0.0,52
53,247,5,77,2022-03-14,35893.14,53
54,862,1,55,2022-09-15,12486.49,54
55,143,18,92,2022-07-12,3856.7899999999995,55
56,814,2,127,2022-01-03,25582.4,56
57,65,8,162,2022-04-09,456.64,57
58,970,6,96,2022-12-08,41413.66,58
59,435,14,96,2022-08-21,20782.09,59
60,842,12,62,2022-11-14,25793.829999999994,60
61,598,19,122,2022-08-03,28052.5,61
62,358,15,33,2022-11-03,24222.359999999997,62
63,546,4,77,2022-04-18,56194.93,63
64,52,18,67,2022-11-08,0.0,64
65,902,10,87,2022-10-06,4402.4400000000005,65
66,427,7,160,2022-01-31,22235.06,66
67,578,7,54,2022-03-06,0.0,67
68,414,12,183,2022-03-15,23.279999999999998,68
69,807,5,18,2022-02-17,28869.86,69
70,759,1,32,2022-10-16,0.0,70
71,301,11,46,2022-02-07,19976.599999999995,71
72,550,6,188,2022-05-07,14934.250000000002,72
73,482,17,90,2022-10-09,222.65,73
74,756,7,25,2022-09-16,0.0,74
75,687,9,98,2022-09-04,29935.550000000003,75
76,790,1,116,2022-10-23,30494.86,76
77,176,8,173,2022-11-27,37287.04,77
78,280,14,147,2022-01-05,26744.279999999995,78
79,607,12,3,2022-12-18,11719.25,79
80,810,7,141,2022-03-31,0.0,80
81,922,10,142,2022-05-23,6872.32,81
82,978,2,134,2022-01-18,0.0,82
83,108,13,66,2022-11-09,674.52,83
84,699,12,88,2022-06-12,17497.16,84
85,579,3,18,2022-07-03,34723.97,85
86,999,19,174,2022-11-13,16632.22,86
87,281,3,144,2022-05-27,0.0,87
88,432,13,106,2022-06-26,8611.179999999998,88
89,122,8,126,2022-10-02,6362.5,89
90,904,18,28,2022-05-08,0.0,90
91,799,20,122,2022-10-12,41851.52999999999,91
92,910,8,103,2022-06-01,13010.7,92
93,189,4,55,2022-02-27,10105.900000000001,93
94,209,2,133,2022-08-28,838.74,94
95,679,20,62,2022-10-03,0.0,95
96,132,19,102,2022-04-28,24756.350000000002,96
97,324,10,143,2022-10-30,0.0,97
98,650,9,75,2022-04-05,1854.93,98
99,747,9,58,2022-12-11,18461.69,99
100,717,2,117,2022-10-22,1701.7000000000003,100
101,312,5,42,2022-07-31,23955.36,101
102,899,13,10,2022-07-29,0.0,102
103,362,2,150,2022-11-27,0.0,103
104,953,11,26,2022-11-21,39838.59,104
105,540,20,60,2022-07-19,180.01000000000002,105
106,240,10,100,2022-01-06,40414.52,106
107,64,14,89,2022-10-25,17046.879999999997,107
108,585,6,130,2022-07-03,15736.710000000001,108
109,536,1,196,2022-12-30,13909.619999999997,109
110,342,13,12,2022-11-27,19801.58,110
111,735,9,6,2022-08-23,0.0,111
112,908,12,63,2022-10-18,13130.7,112
113,497,8,53,2022-05-19,0.0,113
114,106,7,174,2022-07-30,15523.039999999997,114
115,454,5,159,2022-02-07,9419.2,115
116,242,10,176,2022-06-29,23501.079999999998,116
117,409,12,121,2022-08-08,12074.679999999998,117
118,560,20,65,2022-11-08,26468.640000000003,118
119,499,1,98,2022-11-07,21936.5,119
120,71,5,163,2022-01-08,4521.360000000001,120
121,367,9,190,2022-01-25,615.6,121
122,982,6,113,2022-09-24,7789.319999999999,122
123,743,14,35,2022-09-18,31921.539999999997,123
124,395,16,197,2022-08-20,34035.81,124
125,835,20,122,2022-08-10,23063.219999999998,125
126,819,16,110,2022-03-31,0.0,126
127,639,10,119,2022-05-04,11154.71,127
128,157,14,90,2022-07-08,13132.0,128
129,841,4,94,2022-08-19,10761.6,129
130,437,1,44,2022-03-14,0.0,130
131,59,1,71,2022-07-21,0.0,131
132,317,17,175,2022-01-25,5473.65,132
133,726,11,116,2022-10-06,59774.91,133
134,766,8,141,2022-02-27,3479.04,134
135,281,12,119,2022-10-06,39673.619999999995,135
