movement_id,product_id,store_id,movement_type,quantity,movement_date
1,366,19,OUT,61,2023-09-26
2,276,8,IN,86,2022-08-08
3,477,1,OUT,99,2023-05-28
4,269,7,OUT,87,2023-05-09
5,117,5,IN,81,2090-04-03
6,320,18,TRANSFER,41,2020-04-08
7,372,17,TRANSFER,4,2022-06-18
8,6,2,OUT,11,2023-05-07
9,193,5,IN,68,2020-05-23
10,484,18,IN,6,2056-04-05
11,440,2,TRANSFER,82,2022-06-06
12,388,1,TRANSFER,50,2052-06-07
13,279,6,OUT,unknown,2023-11-30
14,432,12,IN,unknown,2022-05-22
15,56,7,OUT,58,2022-10-31
16,11,6,IN,56,2020-10-29
17,141,5,OUT,71,2021-04-13
18,59,13,OUT,7,2023-08-03
19,240,15,TRANSFER,91,2023-10-28
20,435,3,IN,19,2022-11-16
21,274,4,OUT,95,2022-10-30
22,122,3,OUT,88,2021-07-29
23,411,18,TRANSFER,50,2020-11-14
24,448,18,IN,71,2023-05-24
25,293,9,OUT,24,2021-05-27
26,488,13,IN,8,2023-03-10
27,187,18,OUT,17,2021-06-05
28,158,6,OUT,95,2020-06-04
29,242,9,IN,64,2023-07-02
30,469,7,OUT,91,2039-05-13
31,243,4,OUT,28,2022-08-06
32,474,4,IN,35,2072-08-08
33,176,18,IN,99,2073-00-10
34,10,4,TRANSFER,90,2021-10-01
35,17,6,IN,71,2022-12-13
36,368,20,IN,92,2021-02-21
37,12,2,IN,10,2023-10-17
38,294,4,OUT,39,2021-11-25
39,117,14,TRANSFER,41,2023-01-27
40,43,15,IN,20,2091-06-22
41,477,15,TRANSFER,80,2023-10-22
42,141,17,OUT,18,2021-08-24
43,420,13,OUT,66,2022-04-09
44,4,14,TRANSFER,31,2023-10-22
45,442,17,OUT,19,2023-07-30
46,260,7,OUT,37,2100-03-19
47,318,14,TRANSFER,69,2023-05-18
48,370,16,IN,20,2023-05-26
49,29,15,OUT,32,2020-12-24
50,341,3,TRANSFER,97,2023-11-22
51,184,19,TRANSFER,65,2022-07-08
52,218,6,OUT,86,2022-10-14
53,203,6,IN,15,2021-02-06
54,485,6,TRANSFER,unknown,2022-06-27
55,96,14,OUT,95,2021-10-23
56,349,11,OUT,34,2020-08-18
57,156,15,IN,18,2023-01-26
58,486,1,OUT,85,2022-12-20
59,106,14,TRANSFER,38,2023-12-16
60,33,11,IN,66,2020-11-17
61,69,18,OUT,28,2021-06-01
62,27,5,OUT,51,2020-09-29
63,400,5,TRANSFER,60,2023-05-01
64,374,11,TRANSFER,21,2020-05-31
65,166,17,TRANSFER,98,2023-05-19
66,420,14,IN,50,2020-04-19
67,245,2,IN,62,2022-11-01
68,338,6,TRANSFER,72,2020-10-18
69,208,7,TRANSFER,57,2022-11-15
70,48,18,OUT,95,2020-05-30
71,87,3,TRANSFER,11,2022-07-03
72,101,4,IN,71,2023-09-24
73,8,10,IN,54,2022-03-25
74,386,8,TRANSFER,53,2023-10-10
75,433,9,OUT,42,2023-01-05
76,392,8,OUT,33,2020-02-21
77,74,13,TRANSFER,67,2020-10-12
78,237,1,IN,unknown,2023-03-15
79,235,14,TRANSFER,89,2061-04-04
80,378,8,TRANSFER,29,2043-01-04
81,290,17,IN,49,2023-01-09
82,421,10,OUT,76,2021-06-06
83,340,16,OUT,80,2020-03-27
84,108,2,TRANSFER,19,2023-02-15
85,360,20,TRANSFER,72,2020-07-23
86,355,6,OUT,82,2021-06-14
87,70,20,TRANSFER,37,2023-01-04
88,349,11,TRANSFER,47,2080-00-21
89,95,9,OUT,15,2022-03-11
90,474,8,TRANSFER,71,2022-02-23
91,107,12,OUT,54,2022-12-27
92,423,1,OUT,63,2023-02-11
93,257,3,TRANSFER,13,2021-02-13
94,344,7,OUT,54,2020-12-03
95,486,6,OUT,72,2020-11-30
96,33,13,TRANSFER,79,2020-01-12
97,46,13,TRANSFER,71,2023-11-12
98,136,5,TRANSFER,83,2022-02-01
99,283,5,TRANSFER,39,2022-01-16
100,300,8,TRANSFER,85,2022-05-08
101,262,3,IN,26,2021-06-18
102,14,13,TRANSFER,61,2023-06-18
103,353,1,IN,41,2021-05-19
104,268,15,OUT,64,2022-04-23
105,247,20,TRANSFER,56,2022-07-16
106,226,2,OUT,31,2023-12-20
107,265,19,TRANSFER,42,2023-12-06
108,93,15,TRANSFER,24,2020-11-11
109,199,10,OUT,18,2022-03-14
110,457,1,OUT,unknown,2022-03-12
111,354,11,TRANSFER,unknown,2080-09-05
112,469,1,TRANSFER,52,2022-05-11
113,135,14,TRANSFER,5,2021-04-22
114,268,16,TRANSFER,16,2022-07-23
115,223,13,OUT,73,2022-11-27
116,181,20,TRANSFER,70,2022-04-12
117,268,17,IN,36,2021-01-26
118,458,3,TRANSFER,11,2020-12-25
119,170,2,IN,43,2023-12-24
120,25,9,IN,42,2092-08-14
121,494,19,IN,58,2022-07-04
122,185,15,OUT,14,2023-03-17
123,168,20,IN,10,2021-04-29
124,374,17,TRANSFER,76,2020-07-29
125,152,8,TRANSFER,93,2020-04-17
126,456,17,IN,33,2064-01-28
127,3,5,OUT,70,2060-05-07
128,167,16,OUT,40,2020-05-01
129,300,4,TRANSFER,85,2035-09-11
130,78,4,IN,unknown,2023-11-27
131,130,10,IN,54,2031-03-05
132,296,12,IN,46,2022-06-17
133,500,15,IN,14,2020-05-15
134,322,17,OUT,52,2020-07-25
135,330,4,OUT,32,2021-07-28
136,401,1,OUT,67,2021-05-20
137,463,15,IN,73,2020-08-10
138,149,17,IN,unknown,2085-10-24
139,109,12,OUT,39,2023-11-07
140,6,1,TRANSFER,60,2085-08-24
141,429,7,TRANSFER,unknown,2089-06-08
142,250,20,IN,unknown,2023-06-24
143,333,5,OUT,83,2020-06-05
144,314,13,TRANSFER,38,2020-03-10
145,223,9,IN,83,2067-01-20
146,322,16,OUT,9,2021-05-29
147,328,19,OUT,57,2022-08-28
148,443,10,TRANSFER,unknown,2022-11-29
149,282,14,TRANSFER,49,2023-09-22
150,371,10,TRANSFER,65,2020-11-15
151,23,8,IN,unknown,2021-02-11
152,268,4,IN,unknown,2021-04-29
153,113,5,OUT,11,2020-04-01
154,388,20,OUT,26,2076-00-27
155,396,17,TRANSFER,unknown,2085-01-15
156,412,1,TRANSFER,unknown,2022-06-27
157,9,3,IN,23,2023-02-15
158,213,10,TRANSFER,23,2030-04-14
159,250,19,IN,30,2090-07-23
160,240,14,OUT,72,2023-09-13
161,319,15,TRANSFER,59,2020-08-03
162,20,20,TRANSFER,66,2023-02-09
163,266,18,TRANSFER,86,2022-04-04
164,381,19,IN,44,2022-12-05
165,236,16,IN,63,2022-04-19
166,67,20,OUT,43,2023-06-14
167,312,17,TRANSFER,46,2021-09-24
168,309,9,IN,44,2098-10-20
169,397,4,IN,unknown,2021-06-16
170,330,3,IN,9,2021-06-12
171,469,5,OUT,37,2022-05-13
172,296,3,TRANSFER,72,2020-05-16
173,297,15,TRANSFER,66,2020-01-31
174,8,9,IN,80,2021-03-11
175,261,18,TRANSFER,unknown,2021-08-22
176,397,1,TRANSFER,77,2021-09-21
177,420,8,IN,11,2020-01-29
178,143,16,TRANSFER,7,2022-01-28
179,267,11,OUT,unknown,2023-12-28
180,194,17,OUT,49,2020-06-10
181,153,7,TRANSFER,unknown,2022-10-10
182,355,7,IN,81,2020-05-05
183,170,4,IN,65,2021-06-02
184,95,2,IN,38,2023-05-28
185,152,3,IN,88,2059-01-06
186,91,2,TRANSFER,82,2052-02-15
187,7,5,TRANSFER,17,2021-11-25
188,339,5,TRANSFER,5,2020-11-28
189,293,12,OUT,79,2023-03-05
190,288,16,IN,72,2020-06-04
191,129,13,OUT,unknown,2022-04-26
192,327,17,TRANSFER,48,2021-07-21
193,494,3,IN,unknown,2023-11-03
194,171,12,OUT,6,2059-03-02
195,41,15,OUT,70,2022-01-02
196,1,11,IN,88,2022-08-01
197,72,13,TRANSFER,71,2023-09-24
198,315,1,IN,unknown,2023-05-12
199,57,11,OUT,1,2020-08-26
200,243,11,IN,17,2023-12-13
201,265,15,TRANSFER,55,2021-04-07
202,450,15,OUT,32,2022-12-22
203,210,7,OUT,27,2082-08-10
204,157,5,IN,81,2022-03-12
205,133,19,IN,unknown,2020-06-03
206,29,2,OUT,37,2021-10-13
207,22,17,TRANSFER,22,2022-08-08
208,49,18,OUT,70,2021-06-08
209,283,2,OUT,unknown,2021-05-31
210,216,10,TRANSFER,56,2023-12-02
211,315,13,OUT,73,2022-08-13
212,26,7,TRANSFER,unknown,2020-11-30
213,205,10,IN,69,2061-01-26
214,458,13,TRANSFER,87,2021-04-30
215,75,4,IN,unknown,2023-01-10
216,277,10,OUT,22,2023-02-25
217,442,3,OUT,19,2020-03-16
218,116,4,TRANSFER,33,2020-01-20
219,266,19,OUT,26,2022-05-25
220,416,19,OUT,62,2021-10-18
221,336,17,TRANSFER,24,2023-08-14
222,329,6,IN,26,2022-01-26
223,114,17,TRANSFER,63,2022-05-29
224,473,2,OUT,78,2022-05-20
225,44,20,IN,84,2021-01-27
226,478,11,TRANSFER,unknown,2022-04-12
227,13,4,IN,62,2021-08-31
228,416,9,IN,74,2022-11-25
229,47,19,IN,57,2020-11-23
230,499,1,OUT,22,2020-01-05
231,151,4,OUT,38,2023-04-12
232,441,18,IN,14,2023-07-27
233,55,6,OUT,16,2022-01-24
234,493,10,OUT,97,2022-10-17
235,388,6,OUT,47,2022-08-01
236,322,20,IN,77,2023-04-03
237,341,20,TRANSFER,4,2023-10-09
238,50,9,IN,7,2023-07-14
239,241,8,IN,53,2068-08-23
240,441,7,TRANSFER,20,2022-11-26
241,495,20,IN,83,2022-12-03
242,424,17,IN,5,2031-07-25
243,273,11,IN,26,2021-03-14
244,272,20,OUT,19,2021-10-31
245,116,1,IN,50,2075-02-19
246,280,11,TRANSFER,11,2022-05-17
247,389,15,TRANSFER,99,2020-10-16
248,246,1,OUT,56,2023-10-25
249,406,2,IN,7,2022-08-21
250,320,19,TRANSFER,unknown,2020-02-25
251,104,17,IN,75,2022-06-09
252,53,20,TRANSFER,34,2021-08-01
253,474,5,OUT,95,2023-01-11
254,14,10,OUT,54,2021-12-29
255,404,15,OUT,26,2020-05-29
256,435,7,TRANSFER,98,2022-04-21
257,260,18,IN,32,2086-02-18
258,169,11,TRANSFER,unknown,2022-06-04
259,36,5,IN,89,2020-11-21
260,128,16,OUT,13,2022-10-10
261,299,16,OUT,9,2044-04-10
262,487,17,OUT,99,2023-02-17
263,155,18,IN,68,2023-01-27
264,250,6,IN,77,2020-12-19
265,4,9,IN,6,2021-05-19
266,36,11,OUT,1,2022-08-10
267,165,7,TRANSFER,23,2023-03-25
268,409,18,TRANSFER,34,2021-09-10
269,246,1,TRANSFER,94,2023-09-25
270,92,8,TRANSFER,98,2020-07-18
271,96,19,TRANSFER,20,2020-09-13
272,407,1,IN,unknown,2023-07-06
273,233,16,TRANSFER,26,2065-00-23
274,188,19,IN,70,2022-08-19
275,4,18,OUT,unknown,2021-12-14
276,265,12,OUT,97,2023-11-03
277,363,10,IN,36,2020-07-07
278,491,13,TRANSFER,unknown,2023-01-31
279,444,17,OUT,34,2020-07-09
280,253,14,TRANSFER,82,2097-02-28
281,29,6,IN,unknown,2021-01-22
282,180,20,IN,51,2020-08-04
283,403,7,TRANSFER,92,2021-07-17
284,231,16,IN,63,2020-01-15
285,291,15,IN,8,2094-05-11
286,174,7,IN,3,2021-12-13
287,373,2,OUT,61,2021-06-20
288,444,3,IN,33,2022-04-17
289,248,20,IN,44,2021-11-01
290,479,4,IN,46,2023-03-18
291,11,8,TRANSFER,80,2023-04-22
292,25,12,OUT,66,2031-09-16
293,175,2,TRANSFER,71,2020-11-16
294,119,18,IN,70,2022-01-08
295,353,19,TRANSFER,14,2020-03-25
296,279,14,TRANSFER,95,2020-04-20
297,200,3,OUT,80,2023-05-18
298,339,14,IN,81,2021-04-30
299,460,20,IN,2,2023-05-22
300,240,16,TRANSFER,65,2089-10-13
301,451,8,TRANSFER,unknown,2020-10-07
302,302,18,OUT,15,2021-10-01
303,46,20,OUT,22,2022-03-08
304,372,19,IN,89,2040-10-16
305,413,2,OUT,32,2021-04-13
306,277,4,TRANSFER,unknown,2022-07-03
307,10,2,TRANSFER,89,2022-01-15
308,369,18,TRANSFER,unknown,2020-09-10
309,90,7,IN,24,2022-03-23
310,225,2,TRANSFER,2,2022-08-26
311,212,17,TRANSFER,65,2023-02-05
312,235,15,TRANSFER,4,2020-04-30
313,291,16,TRANSFER,12,2022-03-06
314,194,17,TRANSFER,unknown,2023-07-02
315,305,1,IN,17,2020-04-25
316,175,8,OUT,15,2023-05-25
317,227,7,OUT,71,2022-04-05
318,73,13,IN,45,2021-11-18
319,243,14,TRANSFER,44,2020-12-01
320,49,12,TRANSFER,6,2022-02-25
321,429,12,TRANSFER,unknown,2022-07-20
322,62,6,OUT,unknown,2022-11-20
323,457,15,TRANSFER,unknown,2074-07-20
324,77,3,IN,8,2021-06-23
325,276,1,TRANSFER,94,2022-03-18
326,50,3,IN,unknown,2023-01-14
327,214,10,TRANSFER,79,2022-04-20
328,3,6,TRANSFER,96,2023-05-15
329,315,16,OUT,40,2023-02-13
330,233,1,OUT,46,2020-07-31
331,328,18,IN,34,2072-04-24
332,188,13,IN,34,2020-05-03
333,406,17,TRANSFER,unknown,2020-03-17
334,203,11,IN,3,2021-04-22
335,59,1,IN,22,2023-01-14
336,77,5,OUT,59,2060-06-27
337,391,5,IN,32,2021-07-21
338,78,11,TRANSFER,15,2023-05-06
339,373,14,IN,92,2020-03-15
340,204,18,TRANSFER,76,2021-07-15
341,241,12,TRANSFER,88,2073-04-12
342,32,13,IN,46,2021-04-01
343,152,17,IN,16,2022-11-14
344,128,11,OUT,50,2023-06-18
345,49,14,IN,47,2022-06-13
346,419,7,TRANSFER,49,2020-12-23
347,394,20,TRANSFER,53,2023-05-03
348,92,10,IN,29,2021-08-20
349,43,17,IN,50,2020-08-07
350,453,17,TRANSFER,100,2063-00-13
351,439,2,TRANSFER,65,2022-11-09
352,206,1,OUT,55,2022-08-20
353,357,18,IN,unknown,2022-12-09
354,488,5,OUT,2,2038-00-25
355,465,4,OUT,18,2020-06-04
356,174,18,IN,unknown,2020-01-03
357,486,15,IN,86,2065-10-20
358,85,15,IN,2,2021-08-07
359,196,2,TRANSFER,34,2021-12-01
360,89,5,OUT,88,2023-01-19
361,61,8,IN,100,2020-11-23
362,266,10,TRANSFER,95,2023-01-24
363,408,15,TRANSFER,92,2022-01-17
364,66,10,OUT,100,2021-08-09
365,393,11,TRANSFER,53,2021-10-23
366,323,9,IN,100,2020-04-21
367,146,19,OUT,22,2023-01-07
368,73,12,OUT,99,2022-09-27
369,39,18,OUT,unknown,2022-03-09
370,236,7,OUT,51,2021-08-04
371,456,8,IN,unknown,2022-11-02
372,342,12,IN,46,2022-10-14
373,384,15,OUT,42,2023-08-03
374,424,12,OUT,unknown,2022-08-30
375,125,10,OUT,76,2020-03-22
376,9,5,IN,79,2020-03-10
377,300,4,OUT,73,2021-08-24
378,240,18,OUT,95,2020-09-08
379,356,6,OUT,34,2020-04-03
380,292,11,OUT,54,2023-08-28
381,92,20,IN,unknown,2068-08-10
382,349,11,OUT,15,2022-08-13
383,482,20,IN,12,2020-05-08
384,100,9,OUT,42,2080-09-02
385,309,11,IN,54,2020-01-07
386,151,7,IN,unknown,2022-02-18
387,41,10,IN,45,2021-09-05
388,216,11,IN,54,2023-04-04
