visit_id,customer_id,store_id,visit_date
1,505,14,2022-02-09
2,509,3,2022-02-01
3,46,1,2023-03-13
4,571,20,2020-07-22
5,748,1,2020-06-25
6,398,5,2022-12-27
7,351,3,2023-01-21
8,311,19,2021-04-23
9,424,10,2022-07-01
10,832,3,2021-09-06
11,347,6,2023-12-24
12,668,20,2021-06-09
13,381,16,2022-03-11
14,375,17,2083-00-10
15,860,6,2020-07-06
16,552,15,2022-06-04
17,954,1,2021-11-18
18,318,17,2023-11-29
19,344,18,2022-08-25
20,706,4,2020-02-25
21,656,5,2022-12-19
22,11,6,2021-08-06
23,81,15,2020-05-09
24,554,11,2021-03-31
25,214,15,2021-12-09
26,403,12,2041-04-04
27,435,9,2023-05-01
28,721,8,2022-03-13
29,299,14,2023-08-18
30,338,5,2022-06-07
31,855,19,2020-07-03
32,61,5,2023-03-14
33,199,3,2021-11-23
34,453,16,2023-12-16
35,669,7,2020-02-10
36,764,4,2022-05-30
37,570,10,2020-09-16
38,619,11,2023-12-16
39,717,15,2022-05-23
40,885,4,2020-07-21
41,952,2,2020-10-06
42,206,10,2020-12-09
43,433,17,2021-05-10
44,497,4,2020-01-30
45,373,8,2021-08-09
46,715,3,2023-02-17
47,39,15,2021-12-07
48,469,4,2020-10-20
49,382,11,2023-08-07
50,92,17,2021-08-10
51,731,18,2020-08-15
52,28,2,2022-09-09
53,414,18,2022-06-19
54,550,13,2020-04-15
55,657,2,2021-08-30
56,765,13,2020-05-25
57,765,12,2020-02-08
58,668,16,2096-02-18
59,758,16,2020-12-14
60,696,3,2021-04-05
61,340,2,2023-01-21
62,439,13,2022-06-26
63,119,19,2098-01-14
64,733,8,2021-02-08
65,818,6,2021-07-31
66,775,3,2022-04-01
67,471,7,2021-08-15
68,144,17,2022-01-30
69,36,8,2030-02-15
70,300,14,2023-09-23
71,247,13,2022-03-28
72,905,20,2022-07-23
73,564,20,2022-10-07
74,638,12,2021-12-06
75,415,19,2022-02-28
76,110,1,2022-08-17
77,66,13,2022-06-27
78,38,10,2020-02-24
79,252,14,2020-10-30
80,352,4,2021-10-23
81,933,9,2021-03-04
82,107,10,2023-04-12
83,555,13,2054-09-28
84,191,11,2043-00-16
85,316,9,2020-04-21
86,438,5,2021-04-07
87,672,17,2022-01-21
88,296,17,2023-09-06
89,82,11,2022-03-07
90,817,9,2020-01-15
91,441,10,2020-01-23
92,361,18,2022-03-25
93,511,5,2023-03-01
94,41,16,2023-05-25
95,605,10,2022-05-26
96,71,14,2021-06-01
97,520,18,2021-06-29
98,601,18,2022-06-18
99,857,6,2021-02-10
100,98,12,2073-02-22
101,815,1,2050-08-15
102,933,1,2021-10-24
103,130,16,2022-07-11
104,437,3,2020-02-25
105,537,19,2085-04-20
106,203,10,2022-01-31
107,116,20,2020-06-09
108,517,18,2022-08-30
109,714,15,2020-11-07
110,203,3,2022-03-21
111,137,10,2023-02-11
112,487,14,2023-02-07
113,195,12,2023-08-01
114,273,11,2049-07-05
115,17,19,2021-01-11
116,225,5,2022-01-14
117,637,9,2021-05-16
118,188,10,2020-12-29
119,302,6,2023-05-03
120,806,6,2023-10-17
121,503,7,2022-06-09
122,326,13,2022-04-15
123,767,5,2020-05-19
124,113,8,2020-11-02
125,57,7,2020-03-13
126,959,19,2020-08-15
127,70,5,2021-03-20
128,737,3,2023-08-01
129,136,20,2020-12-05
130,324,13,2021-03-23
131,339,11,2023-05-11
132,919,15,2022-09-11
133,482,14,2022-01-21
134,163,19,2021-07-06
135,95,14,2021-01-23
136,399,2,2020-02-02
137,928,1,2020-10-16
138,116,16,2022-06-24
139,666,14,2022-06-16
140,286,1,2023-10-06
141,261,1,2023-05-26
142,375,11,2023-08-10
143,123,3,2020-05-01
144,512,18,2022-01-30
145,550,18,2020-04-26
146,127,17,2020-05-18
147,160,15,2023-03-27
148,263,17,2023-11-13
149,423,13,2020-12-27
150,768,12,2022-10-13
151,943,6,2020-07-11
152,359,16,2023-04-13
153,750,3,2022-03-20
154,54,20,2020-02-28
155,997,9,2023-09-09
156,883,2,2021-03-07
157,711,20,2022-10-21
158,863,16,2023-02-08
159,402,10,2023-06-07
160,763,4,2020-10-04
161,247,18,2022-07-17
162,77,9,2020-09-30
163,875,15,2023-08-28
164,916,12,2021-10-06
165,335,20,2020-04-28
166,210,11,2023-06-24
167,74,3,2023-09-20
168,346,11,2022-06-03
169,169,3,2021-10-08
170,1000,13,2020-02-20
171,656,6,2022-10-29
172,385,9,2023-05-25
173,815,13,2022-01-24
174,485,18,2021-11-28
175,559,16,2022-02-27
176,947,13,2022-06-17
177,976,7,2020-08-20
178,236,7,2022-11-17
179,40,10,2022-09-10
180,846,13,2020-01-12
181,21,19,2020-12-07
182,80,6,2021-04-15
183,555,7,2023-01-26
184,843,10,2023-06-21
185,96,9,2077-08-11
186,339,20,2021-12-11
187,451,6,2022-10-22
188,545,19,2020-07-26
189,479,5,2022-08-30
190,810,10,2047-09-07
191,193,16,2021-02-17
192,797,14,2020-08-16
193,130,8,2020-06-05
194,300,17,2023-03-28
195,190,12,2023-01-03
196,936,9,2022-11-25
197,858,8,2023-01-03
198,731,6,2020-08-14
199,689,14,2022-09-25
200,388,3,2020-01-28
201,169,12,2021-02-16
202,247,7,2021-10-26
203,575,8,2022-11-08
204,444,18,2020-03-21
205,108,1,2093-02-01
206,432,13,2023-02-17
207,190,19,2020-07-18
208,283,1,2021-10-14
209,38,17,2021-04-10
210,535,12,2046-05-13
211,972,6,2021-03-16
212,613,3,2022-11-15
213,938,12,2022-10-18
214,382,4,2021-07-30
215,680,19,2022-10-30
216,74,6,2023-05-05
217,958,1,2022-08-15
218,913,5,2020-12-11
219,757,13,2022-12-16
220,372,12,2023-12-03
221,570,1,2023-09-16
222,384,19,2022-11-12
223,523,12,2100-06-04
224,768,17,2023-09-20
225,658,5,2020-04-13
226,14,11,2021-01-22
227,859,8,2022-07-05
228,541,7,2020-09-19
229,692,19,2061-10-23
230,153,7,2022-12-21
231,403,2,2022-02-24
232,485,16,2022-09-09
233,467,20,2021-05-23
234,239,15,2020-09-19
235,156,15,2020-02-04
236,222,5,2022-03-02
237,339,7,2022-10-30
238,116,17,2023-03-28
239,481,20,2020-10-02
240,386,2,2020-01-24
241,983,13,2022-03-10
242,865,1,2022-03-14
243,720,4,2097-05-15
244,811,14,2021-11-04
245,663,10,2023-09-23
